feature,count,missing_count,missing_rate,finite_count,min,max,mean,sample_standard_deviation,quantiles
LIVINGAREA_AVG,215257,107990,0.5016793878944703,107267,0.0,1.0,0.10745870677841274,0.11065731319925944,"{""0.01"": 0.0022, ""0.05"": 0.0082, ""0.10"": 0.0144, ""0.25"": 0.0453, ""0.50"": 0.0743, ""0.75"": 0.13, ""0.90"": 0.23274000000000086, ""0.95"": 0.3211, ""0.99"": 0.5481699999999982}"
NONLIVINGAPARTMENTS_AVG,215257,149354,0.6938403861430755,65903,0.0,1.0,0.008721299485607636,0.04690969613408242,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0039, ""0.90"": 0.0154, ""0.95"": 0.0309, ""0.99"": 0.1081}"
NONLIVINGAREA_AVG,215257,118577,0.5508624574346014,96680,0.0,1.0,0.02841770273065784,0.06937424507244529,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0036, ""0.75"": 0.028, ""0.90"": 0.0806, ""0.95"": 0.1276, ""0.99"": 0.3162}"
TOTALAREA_MODE,215257,103833,0.4823675885104782,111424,0.0,1.0,0.1025735066053992,0.10722471644977714,"{""0.01"": 0.0016, ""0.05"": 0.0067, ""0.10"": 0.0123, ""0.25"": 0.0413, ""0.50"": 0.0688, ""0.75"": 0.1279, ""0.90"": 0.2273, ""0.95"": 0.30928499999999914, ""0.99"": 0.5252540000000008}"
OBS_30_CNT_SOCIAL_CIRCLE,215257,714,0.0033169653019414,214543,0.0,348.0,1.4238451033126227,2.4342626349833103,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 2.0, ""0.90"": 4.0, ""0.95"": 6.0, ""0.99"": 10.0}"
DEF_30_CNT_SOCIAL_CIRCLE,215257,714,0.0033169653019414,214543,0.0,34.0,0.14328596132243887,0.4483474115836694,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 1.0, ""0.95"": 1.0, ""0.99"": 2.0}"
OBS_60_CNT_SOCIAL_CIRCLE,215257,714,0.0033169653019414,214543,0.0,344.0,1.4066970257710576,2.412318471918407,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 2.0, ""0.90"": 4.0, ""0.95"": 6.0, ""0.99"": 10.0}"
DEF_60_CNT_SOCIAL_CIRCLE,215257,714,0.0033169653019414,214543,0.0,24.0,0.09941130682427299,0.36199558223673267,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 1.0, ""0.99"": 2.0}"
DAYS_LAST_PHONE_CHANGE,215257,1,4.645609666584594e-06,215256,-4292.0,0.0,-964.2142054112313,827.1132237994198,"{""0.01"": -3155.0, ""0.05"": -2524.0, ""0.10"": -2160.0, ""0.25"": -1570.0, ""0.50"": -759.0, ""0.75"": -275.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 0.0}"
AMT_REQ_CREDIT_BUREAU_HOUR,215257,29081,0.13509897471394658,186176,0.0,4.0,0.0062736335510484706,0.08306833677961584,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 0.0}"
AMT_REQ_CREDIT_BUREAU_DAY,215257,29081,0.13509897471394658,186176,0.0,9.0,0.006907442420075628,0.10996091762828646,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 0.0}"
AMT_REQ_CREDIT_BUREAU_WEEK,215257,29081,0.13509897471394658,186176,0.0,8.0,0.03401082846338948,0.2030338370925836,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 1.0}"
AMT_REQ_CREDIT_BUREAU_MON,215257,29081,0.13509897471394658,186176,0.0,27.0,0.26572705397043656,0.9133359897899566,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 1.0, ""0.95"": 1.0, ""0.99"": 4.0}"
AMT_REQ_CREDIT_BUREAU_QRT,215257,29081,0.13509897471394658,186176,0.0,19.0,0.26351946545204535,0.6115862282174319,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 1.0, ""0.95"": 2.0, ""0.99"": 2.0}"
AMT_REQ_CREDIT_BUREAU_YEAR,215257,29081,0.13509897471394658,186176,0.0,25.0,1.8989289704365762,1.8685342250160035,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 1.0, ""0.75"": 3.0, ""0.90"": 4.0, ""0.95"": 6.0, ""0.99"": 8.0}"
BUREAU_ACCOUNT_COUNT,215257,30836,0.14325201967880255,184421,1.0,94.0,5.558634862624104,4.373824350948477,"{""0.01"": 1.0, ""0.05"": 1.0, ""0.10"": 1.0, ""0.25"": 2.0, ""0.50"": 4.0, ""0.75"": 8.0, ""0.90"": 11.0, ""0.95"": 14.0, ""0.99"": 20.0}"
BUREAU_ACTIVE_COUNT,215257,30836,0.14325201967880255,184421,0.0,32.0,2.058968338746672,1.7878685394966563,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 1.0, ""0.50"": 2.0, ""0.75"": 3.0, ""0.90"": 4.0, ""0.95"": 5.0, ""0.99"": 8.0}"
BUREAU_CLOSED_COUNT,215257,30836,0.14325201967880255,184421,0.0,84.0,3.4777709696834957,3.374081728970727,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 1.0, ""0.50"": 3.0, ""0.75"": 5.0, ""0.90"": 8.0, ""0.95"": 10.0, ""0.99"": 15.0}"
BUREAU_SOLD_COUNT,215257,30836,0.14325201967880255,184421,0.0,9.0,0.02182506330623953,0.1598983335256138,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 1.0}"
BUREAU_BAD_DEBT_COUNT,215257,30836,0.14325201967880255,184421,0.0,1.0,7.049088769717115e-05,0.008395612004800346,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 0.0}"
BUREAU_CREDIT_SUM_TOTAL,215257,30836,0.14325201967880255,184421,0.0,1017957917.385,1960393.2693169813,4357740.537424247,"{""0.01"": 21055.5, ""0.05"": 67500.0, ""0.10"": 125082.0, ""0.25"": 343373.04, ""0.50"": 964161.0, ""0.75"": 2298669.84, ""0.90"": 4679455.5, ""0.95"": 6974330.49, ""0.99"": 14115669.299999956}"
BUREAU_CREDIT_SUM_MEAN,215257,30836,0.14325201967880255,184421,0.0,142290000.0,377699.42139334977,830891.3171063787,"{""0.01"": 17438.58, ""0.05"": 40590.0, ""0.10"": 59001.0975, ""0.25"": 103628.295, ""0.50"": 196291.5, ""0.75"": 394148.9025, ""0.90"": 780735.0, ""0.95"": 1222635.0, ""0.99"": 2971544.9399999776}"
BUREAU_CREDIT_SUM_MAX,215257,30836,0.14325201967880255,184421,0.0,170100000.0,977119.7826255688,2005548.035596813,"{""0.01"": 19384.2, ""0.05"": 52528.5, ""0.10"": 86526.0, ""0.25"": 180000.0, ""0.50"": 450000.0, ""0.75"": 1048500.0, ""0.90"": 2250000.0, ""0.95"": 3546000.0, ""0.99"": 8596360.79999998}"
BUREAU_DEBT_TOTAL,215257,30836,0.14325201967880255,184421,-3112461.135,334498331.20500004,642349.3309495014,1685997.462807438,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 169746.66, ""0.75"": 660098.79, ""0.90"": 1602639.0, ""0.95"": 2654347.5, ""0.99"": 7029549.89999995}"
BUREAU_DEBT_MEAN,215257,36039,0.1674231267740422,179218,-1083614.67,43650000.0,160607.05346956349,527671.4924814663,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 44370.0, ""0.75"": 142556.88053571427, ""0.90"": 349630.7708181818, ""0.95"": 609518.3175, ""0.99"": 1951227.4319999935}"
BUREAU_DEBT_MAX,215257,36039,0.1674231267740422,179218,-25959.645,170100000.0,522739.6849078384,1357436.9733399318,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 149998.5, ""0.75"": 495771.8175, ""0.90"": 1241699.85, ""0.95"": 2125484.0999999996, ""0.99"": 6286883.534999978}"
BUREAU_DEBT_REPORTED_COUNT,215257,30836,0.14325201967880255,184421,0.0,89.0,4.7111500317209,3.8481612332198267,"{""0.01"": 0.0, ""0.05"": 1.0, ""0.10"": 1.0, ""0.25"": 2.0, ""0.50"": 4.0, ""0.75"": 6.0, ""0.90"": 10.0, ""0.95"": 12.0, ""0.99"": 18.0}"
BUREAU_POSITIVE_DEBT_TOTAL,215257,30836,0.14325201967880255,184421,0.0,334498331.20500004,642565.3674836814,1685920.571157147,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 169812.0, ""0.75"": 660307.5, ""0.90"": 1603003.5, ""0.95"": 2655409.5, ""0.99"": 7029549.89999995}"
BUREAU_POSITIVE_DEBT_MEAN,215257,36039,0.1674231267740422,179218,0.0,43650000.0,160645.66154553954,527645.3082373585,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 44378.83796875, ""0.75"": 142564.89375, ""0.90"": 349630.7708181818, ""0.95"": 609518.3175, ""0.99"": 1951227.4319999935}"
BUREAU_POSITIVE_DEBT_MAX,215257,36039,0.1674231267740422,179218,0.0,170100000.0,522740.0829197291,1357436.8178537143,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 149998.5, ""0.75"": 495771.8175, ""0.90"": 1241699.85, ""0.95"": 2125484.0999999996, ""0.99"": 6286883.534999978}"
BUREAU_NEGATIVE_DEBT_ACCOUNT_COUNT,215257,30836,0.14325201967880255,184421,0.0,8.0,0.03181307985533101,0.24584556661196194,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 1.0}"
BUREAU_OVERDUE_ACCOUNT_COUNT,215257,30836,0.14325201967880255,184421,0.0,7.0,0.014016841899783647,0.13145318411665674,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 1.0}"
BUREAU_OVERDUE_DAYS_MAX,215257,30836,0.14325201967880255,184421,0.0,2792.0,4.816029627862337,89.46516590668355,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 17.0}"
BUREAU_OVERDUE_AMOUNT_TOTAL,215257,30836,0.14325201967880255,184421,0.0,3756681.0,249.35841208430713,18132.290123296945,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 31.5}"
BUREAU_OVERDUE_AMOUNT_MAX,215257,30836,0.14325201967880255,184421,0.0,3756681.0,210.51041529977604,16563.762832206055,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 31.5}"
BUREAU_OLDEST_CREDIT_DAYS,215257,30836,0.14325201967880255,184421,-2922.0,-2.0,-1763.1802668893456,864.0781599111614,"{""0.01"": -2912.0, ""0.05"": -2868.0, ""0.10"": -2809.0, ""0.25"": -2583.0, ""0.50"": -1829.0, ""0.75"": -1035.0, ""0.90"": -501.0, ""0.95"": -298.0, ""0.99"": -89.0}"
BUREAU_MOST_RECENT_CREDIT_DAYS,215257,30836,0.14325201967880255,184421,-2922.0,0.0,-489.3679461666513,538.0764420758036,"{""0.01"": -2607.0, ""0.05"": -1646.0, ""0.10"": -1170.0, ""0.25"": -619.0, ""0.50"": -300.0, ""0.75"": -143.0, ""0.90"": -67.0, ""0.95"": -39.0, ""0.99"": -15.0}"
BUREAU_AVG_CREDIT_DAYS,215257,30836,0.14325201967880255,184421,-2922.0,-2.0,-1083.1791678974962,563.6494265494737,"{""0.01"": -2647.0, ""0.05"": -2102.0, ""0.10"": -1809.5, ""0.25"": -1434.0, ""0.50"": -1050.75, ""0.75"": -663.0, ""0.90"": -370.0, ""0.95"": -238.9, ""0.99"": -84.0}"
BUREAU_PROLONGATION_ACCOUNT_COUNT,215257,30836,0.14325201967880255,184421,0.0,3.0,0.03379766946280521,0.1875697336434119,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 1.0}"
BUREAU_PROLONGATION_TOTAL,215257,30836,0.14325201967880255,184421,0.0,9.0,0.04079253447275527,0.24803880742744813,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 1.0}"
BUREAU_PROLONGATION_MAX,215257,30836,0.14325201967880255,184421,0.0,9.0,0.039534543246159605,0.23759487908077145,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0, ""0.99"": 1.0}"
BUREAU_CREDIT_LIMIT_TOTAL,215257,30836,0.14325201967880255,184421,-391566.645,6412500.0,23391.194391967296,98829.37803455135,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 45000.0, ""0.95"": 148283.64, ""0.99"": 454500.0}"
BUREAU_CREDIT_LIMIT_MAX,215257,45585,0.21177011665125872,169672,0.0,4500000.0,22114.114850546935,84325.95868101549,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 0.0, ""0.90"": 49376.06549999995, ""0.95"": 146149.4654999968, ""0.99"": 418500.0}"
BUREAU_CREDIT_LIMIT_REPORTED_COUNT,215257,30836,0.14325201967880255,184421,0.0,53.0,3.7017042527694786,3.1848401157713617,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 1.0, ""0.25"": 1.0, ""0.50"": 3.0, ""0.75"": 5.0, ""0.90"": 8.0, ""0.95"": 10.0, ""0.99"": 14.0}"
BUREAU_MAX_OVERDUE_AMOUNT_MAX,215257,86638,0.40248633029355607,128619,0.0,115987185.0,10019.82093240501,433005.82347176917,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 5897.452499999999, ""0.90"": 15970.652999999998, ""0.95"": 26738.23499999995, ""0.99"": 76094.49059999984}"
BUREAU_MAX_OVERDUE_AMOUNT_MEAN,215257,86638,0.40248633029355607,128619,0.0,115987185.0,5695.198312206304,360987.0480900618,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 2106.0, ""0.90"": 7291.98, ""0.95"": 12879.12599999999, ""0.99"": 41416.80119999995}"
BUREAU_MAX_OVERDUE_REPORTED_COUNT,215257,30836,0.14325201967880255,184421,0.0,46.0,1.9595599199657305,2.308437109503349,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 1.0, ""0.75"": 3.0, ""0.90"": 5.0, ""0.95"": 6.0, ""0.99"": 10.0}"
BUREAU_ANNUITY_AVAILABLE_COUNT,215257,30836,0.14325201967880255,184421,0.0,47.0,1.2658807836417763,2.6934319064406305,"{""0.01"": 0.0, ""0.05"": 0.0, ""0.10"": 0.0, ""0.25"": 0.0, ""0.50"": 0.0, ""0.75"": 1.0, ""0.90"": 5.0, ""0.95"": 7.0, ""0.99"": 12.0}"
