Feature_Name,Raw_Source_Table,Feature_Source_Type,Dtype_Exact,Missing_Mask_Exact,Value_Exact,Result
PREV_DOWN_PAYMENT_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_DOWN_PAYMENT_MAX,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_ANNUITY_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_ANNUITY_MAX,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CNT_PAYMENT_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CNT_PAYMENT_MAX,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_REPEATER_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_NEW_CLIENT_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_REFRESHED_CLIENT_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_XNA_CLIENT_TYPE_COUNT,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CONTRACT_TYPE_NUNIQUE,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_PRODUCT_COMBINATION_NUNIQUE,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_MOST_RECENT_DECISION_DAYS,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_OLDEST_DECISION_DAYS,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_AVG_DECISION_DAYS,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_FIRST_DUE_DAYS_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_LAST_DUE_DAYS_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_TERMINATION_DAYS_MEAN,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPROVAL_RATE,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_REFUSAL_RATE,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CANCELED_RATE,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_CREDIT_TO_APPLICATION_RATIO,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
PREV_APPROVED_CREDIT_TO_APPLICATION_RATIO,previous_application.csv,CUSTOMER_LEVEL_AGGREGATE,True,True,True,PASS
HAS_PREV_APP_HISTORY,previous_application.csv,DETERMINISTIC_ENGINEERED,True,True,True,PASS
FLAG_DAYS_EMPLOYED_SENTINEL,application_train.csv,DETERMINISTIC_ENGINEERED,True,True,True,PASS
EMPLOYMENT_YEARS,application_train.csv,DETERMINISTIC_ENGINEERED,True,True,True,PASS
OWN_CAR_AGE_IS_MISSING,application_train.csv,DETERMINISTIC_ENGINEERED,True,True,True,PASS
HOUSING_AVG_NUMERIC_DATA_AVAILABLE_FLAG,application_train.csv,DETERMINISTIC_ENGINEERED,True,True,True,PASS
BUREAU_REQUEST_DATA_AVAILABLE_FLAG,application_train.csv,DETERMINISTIC_ENGINEERED,True,True,True,PASS
